지역번호,지역명,일시,평균습도(%rh),최저습도(%rh)
0,전국, 2023-12,70,4
0,전국, 2023-11,65,6
0,전국, 2023-10,72,14
0,전국, 2023-09,81,11
0,전국, 2023-08,81,32
0,전국, 2023-07,85,25
0,전국, 2023-06,75,15
0,전국, 2023-05,69,8
0,전국, 2023-04,62,1
0,전국, 2023-03,55,1
0,전국, 2023-02,60,3
0,전국, 2023-01,63,2
0,전국, 2022-12,62,6
0,전국, 2022-11,68,2
0,전국, 2022-10,73,9
0,전국, 2022-09,77,13
0,전국, 2022-08,83,23
0,전국, 2022-07,81,23
0,전국, 2022-06,76,2
0,전국, 2022-05,57,1
0,전국, 2022-04,60,1
0,전국, 2022-03,65,1
0,전국, 2022-02,52,1
0,전국, 2022-01,57,1
0,전국, 2021-12,64,2
0,전국, 2021-11,71,6
0,전국, 2021-10,77,10
0,전국, 2021-09,80,9
0,전국, 2021-08,83,25
0,전국, 2021-07,80,22
0,전국, 2021-06,77,13
0,전국, 2021-05,71,2
0,전국, 2021-04,59,1
0,전국, 2021-03,68,3
0,전국, 2021-02,58,2
0,전국, 2021-01,63,4
0,전국, 2020-12,60,3
0,전국, 2020-11,65,6
0,전국, 2020-10,69,8
0,전국, 2020-09,80,22
0,전국, 2020-08,85,17
0,전국, 2020-07,86,25
0,전국, 2020-06,75,14
0,전국, 2020-05,72,8
0,전국, 2020-04,55,2
0,전국, 2020-03,60,1
0,전국, 2020-02,67,5
0,전국, 2020-01,68,9
0,전국, 2019-12,66,6
0,전국, 2019-11,69,7
0,전국, 2019-10,75,15
0,전국, 2019-09,80,17
0,전국, 2019-08,78,22
0,전국, 2019-07,79,14
0,전국, 2019-06,73,12
0,전국, 2019-05,57,4
0,전국, 2019-04,61,2
0,전국, 2019-03,59,2
0,전국, 2019-02,57,1
0,전국, 2019-01,54,1
0,전국, 2018-12,58,3
0,전국, 2018-11,70,2
0,전국, 2018-10,71,11
0,전국, 2018-09,76,16
0,전국, 2018-08,75,20
0,전국, 2018-07,77,24
0,전국, 2018-06,70,13
0,전국, 2018-05,71,10
0,전국, 2018-04,63,1
0,전국, 2018-03,67,3
0,전국, 2018-02,50,1
0,전국, 2018-01,58,3
0,전국, 2017-12,58,2
0,전국, 2017-11,61,6
0,전국, 2017-10,74,10
0,전국, 2017-09,74,1
0,전국, 2017-08,80,12
0,전국, 2017-07,83,20
0,전국, 2017-06,66,8
0,전국, 2017-05,60,1
0,전국, 2017-04,59,0
0,전국, 2017-03,57,5
0,전국, 2017-02,56,3
0,전국, 2017-01,60,2
0,전국, 2016-12,66,5
0,전국, 2016-11,67,3
0,전국, 2016-10,77,8
0,전국, 2016-09,81,17
0,전국, 2016-08,74,18
0,전국, 2016-07,82,25
0,전국, 2016-06,75,4
0,전국, 2016-05,64,5
0,전국, 2016-04,65,5
0,전국, 2016-03,60,1
0,전국, 2016-02,58,5
0,전국, 2016-01,61,1
0,전국, 2015-12,69,1
0,전국, 2015-11,80,8
0,전국, 2015-10,70,6
0,전국, 2015-09,74,10
0,전국, 2015-08,79,21
0,전국, 2015-07,79,9
0,전국, 2015-06,71,9
0,전국, 2015-05,59,3
0,전국, 2015-04,66,3
0,전국, 2015-03,52,2
0,전국, 2015-02,61,7
0,전국, 2015-01,64,6
0,전국, 2014-12,61,9
0,전국, 2014-11,70,10
0,전국, 2014-10,72,6
0,전국, 2014-09,77,2
0,전국, 2014-08,83,25
0,전국, 2014-07,78,16
0,전국, 2014-06,74,14
0,전국, 2014-05,60,9
0,전국, 2014-04,59,1
0,전국, 2014-03,61,6
0,전국, 2014-02,63,5
0,전국, 2014-01,57,4
0,전국, 2013-12,65,11
0,전국, 2013-11,66,10
0,전국, 2013-10,71,11
0,전국, 2013-09,76,6
0,전국, 2013-08,77,17
0,전국, 2013-07,80,24
0,전국, 2013-06,75,15
0,전국, 2013-05,66,7
0,전국, 2013-04,59,3
0,전국, 2013-03,57,1
0,전국, 2013-02,57,4
0,전국, 2013-01,64,8
0,전국, 2012-12,65,4
0,전국, 2012-11,63,2
0,전국, 2012-10,69,3
0,전국, 2012-09,78,20
0,전국, 2012-08,78,24
0,전국, 2012-07,80,24
0,전국, 2012-06,70,17
0,전국, 2012-05,62,4
0,전국, 2012-04,59,1
0,전국, 2012-03,60,1
0,전국, 2012-02,53,5
0,전국, 2012-01,57,3
0,전국, 2011-12,58,5
0,전국, 2011-11,69,8
0,전국, 2011-10,68,5
0,전국, 2011-09,72,11
0,전국, 2011-08,81,25
0,전국, 2011-07,82,23
0,전국, 2011-06,72,11
0,전국, 2011-05,66,7
0,전국, 2011-04,58,4
0,전국, 2011-03,51,6
0,전국, 2011-02,63,2
0,전국, 2011-01,54,4
0,전국, 2010-12,61,7
0,전국, 2010-11,59,1
0,전국, 2010-10,71,1
0,전국, 2010-09,77,14
0,전국, 2010-08,81,17
0,전국, 2010-07,79,16
0,전국, 2010-06,69,9
0,전국, 2010-05,65,9
0,전국, 2010-04,59,6
0,전국, 2010-03,65,10
0,전국, 2010-02,65,6
0,전국, 2010-01,62,6
0,전국, 2009-12,61,8
0,전국, 2009-11,66,8
0,전국, 2009-10,66,7
0,전국, 2009-09,73,15
0,전국, 2009-08,76,17
0,전국, 2009-07,80,25
0,전국, 2009-06,69,7
0,전국, 2009-05,62,5
0,전국, 2009-04,57,6
0,전국, 2009-03,57,5
0,전국, 2009-02,63,4
0,전국, 2009-01,59,4
,,,,
,,,,
"	",,,,
"	",,,,
"	",,,,
"	",,,,
,,,,
,,,,
"	",,,,
"	",,,,
